@relation loanDefault
@attribute Loan_Amount REAL
@attribute Term { '36 months','60 months' }
@attribute Interest_Rate REAL
@attribute Employment_Length { '< 1 year','1 year','2 years','3 years','4 years','5 years','6 years','7 years','8 years','9 years','10+ years','n/a'}
@attribute Home_Ownership { 'OWN','RENT','MORTGAGE','NONE','OTHER'}
@attribute Annual_Income REAL
@attribute Debt_to_Income REAL
@attribute Credit_Score REAL
@attribute Class {'Fully Paid','Charged Off'}
@DATA
2600,'36 months',0.1757,'7 years','RENT',35318,11.15,679,'Charged Off'
6000,'36 months',0.1353,'10+ years','MORTGAGE',57000,19.14,664,'Charged Off'
14400,'60 months',0.205,'2 years','RENT',45000,18.51,684,'Charged Off'
35000,'60 months',0.2589,'1 year','RENT',750000,14.22,674,'Charged Off'
24000,'60 months',0.1825,'5 years','MORTGAGE',81000,29.33,704,'Charged Off'
15000,'36 months',0.1285,'7 years','OWN',35000,21.19,684,'Charged Off'
28000,'60 months',0.1699,'10+ years','MORTGAGE',80000,24.11,699,'Charged Off'
15000,'36 months',0.1199,'5 years','RENT',48000,9.73,694,'Charged Off'
12800,'36 months',0.1561,'5 years','RENT',78000,13.56,679,'Charged Off'
10625,'36 months',0.2148,'10+ years','RENT',30000,22.48,684,'Charged Off'
8875,'36 months',0.1498,'n/a','RENT',23148,28.88,664,'Charged Off'
5200,'36 months',0.1398,'2 years','RENT',35000,11.97,744,'Charged Off'
16200,'60 months',0.1699,'10+ years','RENT',36000,32.63,709,'Charged Off'
20000,'60 months',0.205,'8 years','MORTGAGE',80000,13.98,699,'Charged Off'
8000,'36 months',0.1757,'9 years','RENT',48000,18.28,664,'Charged Off'
10000,'60 months',0.205,'10+ years','MORTGAGE',35000,6.41,669,'Charged Off'
35000,'36 months',0.1199,'10+ years','RENT',94000,17.26,689,'Charged Off'
10000,'60 months',0.237,'10+ years','MORTGAGE',46000,15.24,679,'Charged Off'
24000,'60 months',0.1624,'2 years','RENT',91000,13.88,719,'Charged Off'
16000,'36 months',0.1922,'3 years','RENT',54000,28.36,694,'Charged Off'
4675,'36 months',0.229,'1 year','RENT',35000,15.02,669,'Charged Off'
5000,'36 months',0.1997,'n/a','OWN',15503,7.28,684,'Charged Off'
15000,'60 months',0.1398,'2 years','OWN',90000,19.03,709,'Charged Off'
18000,'36 months',0.1353,'10+ years','MORTGAGE',59000,20.67,684,'Charged Off'
9450,'36 months',0.1447,'6 years','MORTGAGE',36000,10.97,669,'Charged Off'
26000,'60 months',0.1922,'3 years','MORTGAGE',62000,14.34,669,'Charged Off'
8000,'36 months',0.1624,'10+ years','MORTGAGE',63000,18.65,664,'Charged Off'
35000,'36 months',0.1285,'3 years','RENT',100000,12.11,709,'Charged Off'
10000,'60 months',0.1757,'3 years','RENT',50000,23.36,664,'Charged Off'
35000,'60 months',0.1825,'2 years','MORTGAGE',115000,13.85,699,'Charged Off'
24375,'36 months',0.1997,'9 years','RENT',55200,26.72,669,'Charged Off'
2000,'36 months',0.1285,'10+ years','RENT',70000,20.81,689,'Charged Off'
24000,'60 months',0.1498,'4 years','RENT',170000,3.42,669,'Charged Off'
20000,'36 months',0.1561,'2 years','RENT',60000,8.8,679,'Charged Off'
34475,'36 months',0.1285,'5 years','MORTGAGE',72152,16.27,704,'Charged Off'
5375,'36 months',0.1498,'n/a','RENT',13000,11.27,704,'Charged Off'
14000,'36 months',0.089,'6 years','MORTGAGE',60000,22.24,709,'Charged Off'
22800,'36 months',0.1757,'< 1 year','MORTGAGE',57000,23.16,679,'Charged Off'
10000,'36 months',0.089,'< 1 year','RENT',52000,22.6,679,'Charged Off'
35000,'60 months',0.1997,'2 years','RENT',141000,19.81,689,'Charged Off'
11625,'36 months',0.205,'1 year','RENT',75000,13.07,684,'Charged Off'
8875,'36 months',0.1447,'< 1 year','RENT',26400,27.05,759,'Charged Off'
12000,'36 months',0.1199,'4 years','RENT',72000,14.75,674,'Charged Off'
12000,'36 months',0.1825,'1 year','RENT',70000,3.94,669,'Charged Off'
8000,'36 months',0.1922,'10+ years','MORTGAGE',32000,32,689,'Charged Off'
19600,'60 months',0.205,'10+ years','OWN',49660,16.02,704,'Charged Off'
11000,'60 months',0.1398,'10+ years','MORTGAGE',100000,2.81,664,'Charged Off'
15000,'36 months',0.1699,'10+ years','MORTGAGE',80000,9.77,704,'Charged Off'
12000,'60 months',0.1498,'3 years','RENT',40000,24.09,714,'Charged Off'
20375,'36 months',0.1353,'10+ years','MORTGAGE',106000,28.33,689,'Charged Off'
30200,'60 months',0.224,'5 years','OWN',94000,13.79,674,'Charged Off'
20000,'36 months',0.089,'10+ years','OWN',65000,12.87,704,'Charged Off'
21000,'36 months',0.1561,'2 years','MORTGAGE',146640,13.04,704,'Charged Off'
8000,'36 months',0.1757,'5 years','RENT',45000,20.24,679,'Charged Off'
3325,'36 months',0.1922,'< 1 year','RENT',64000,15.28,699,'Charged Off'
20000,'60 months',0.1997,'10+ years','MORTGAGE',60000,16.66,714,'Charged Off'
20000,'60 months',0.1922,'1 year','RENT',150000,9.68,694,'Charged Off'
16000,'60 months',0.1561,'10+ years','MORTGAGE',99000,27.21,704,'Charged Off'
21000,'36 months',0.089,'8 years','MORTGAGE',83000,7.91,719,'Charged Off'
3500,'36 months',0.237,'10+ years','MORTGAGE',145000,22.34,699,'Charged Off'
18000,'36 months',0.1199,'7 years','MORTGAGE',80000,22.19,704,'Charged Off'
18725,'36 months',0.1353,'9 years','RENT',48000,26.9,684,'Charged Off'
24000,'60 months',0.258,'10+ years','OWN',78000,22.48,674,'Charged Off'
18000,'36 months',0.1561,'9 years','OWN',88000,12.83,674,'Charged Off'
6000,'36 months',0.1099,'n/a','OWN',18145.8,3.21,819,'Charged Off'
15000,'36 months',0.1447,'8 years','RENT',40000,6.66,674,'Charged Off'
25000,'60 months',0.205,'3 years','OWN',60000,26.44,704,'Charged Off'
24000,'60 months',0.2408,'2 years','RENT',98000,5.83,669,'Charged Off'
20125,'60 months',0.234,'3 years','RENT',75000,18.14,704,'Charged Off'
12000,'36 months',0.1099,'5 years','RENT',75000,7.01,689,'Charged Off'
16000,'36 months',0.1699,'10+ years','MORTGAGE',100000,7.55,664,'Charged Off'
30000,'60 months',0.1561,'1 year','MORTGAGE',145000,13.9,714,'Charged Off'
30000,'60 months',0.2148,'2 years','RENT',73200,24.05,664,'Charged Off'
9325,'36 months',0.1353,'3 years','RENT',22000,20.84,699,'Charged Off'
10000,'60 months',0.1498,'8 years','MORTGAGE',50000,14.55,759,'Charged Off'
16000,'36 months',0.079,'8 years','RENT',95000,18.84,729,'Charged Off'
12000,'36 months',0.1624,'10+ years','MORTGAGE',57000,32.02,679,'Charged Off'
35000,'60 months',0.1498,'3 years','MORTGAGE',100122,10.61,784,'Charged Off'
19000,'36 months',0.1561,'1 year','MORTGAGE',66154,20.26,689,'Charged Off'
35000,'36 months',0.1699,'3 years','RENT',392000,8.46,704,'Charged Off'
8000,'36 months',0.1199,'< 1 year','MORTGAGE',95000,13.16,699,'Charged Off'
14825,'60 months',0.1825,'8 years','MORTGAGE',42000,26.63,689,'Charged Off'
12175,'36 months',0.234,'8 years','RENT',37000,20.59,684,'Charged Off'
11100,'60 months',0.1997,'n/a','MORTGAGE',32000,25.96,679,'Charged Off'
8400,'36 months',0.1561,'7 years','MORTGAGE',25000,17.43,664,'Charged Off'
18350,'60 months',0.205,'10+ years','MORTGAGE',58000,12.08,664,'Charged Off'
28000,'60 months',0.1624,'10+ years','RENT',69000,25.58,684,'Charged Off'
28000,'36 months',0.1757,'10+ years','MORTGAGE',140000,4.69,694,'Charged Off'
10000,'36 months',0.1757,'10+ years','MORTGAGE',102000,13.49,689,'Charged Off'
1400,'36 months',0.237,'5 years','RENT',45000,11.39,669,'Charged Off'
9000,'36 months',0.0603,'8 years','MORTGAGE',41000,34.75,814,'Charged Off'
11875,'60 months',0.258,'1 year','RENT',70000,8.52,674,'Charged Off'
3825,'36 months',0.1825,'10+ years','RENT',56000,18.3,669,'Charged Off'
13000,'60 months',0.1699,'7 years','RENT',45208.8,24,684,'Charged Off'
25000,'60 months',0.1353,'1 year','RENT',70000,24.79,749,'Charged Off'
8000,'36 months',0.1997,'10+ years','RENT',30000,20.2,689,'Charged Off'
19425,'60 months',0.1624,'5 years','MORTGAGE',45000,23.6,719,'Charged Off'
17500,'36 months',0.1199,'6 years','RENT',87000,9.87,699,'Charged Off'
30000,'60 months',0.237,'2 years','RENT',150000,17.68,669,'Charged Off'
5500,'36 months',0.1561,'n/a','OWN',14176,24.81,669,'Charged Off'
14000,'36 months',0.1099,'10+ years','MORTGAGE',115000,3.31,669,'Charged Off'
8400,'36 months',0.1498,'8 years','OWN',60000,29.26,679,'Charged Off'
20000,'60 months',0.1561,'10+ years','MORTGAGE',85000,11.65,664,'Charged Off'
18000,'60 months',0.1498,'< 1 year','MORTGAGE',51784,14.37,709,'Charged Off'
13475,'60 months',0.245,'10+ years','MORTGAGE',54000,22.09,704,'Charged Off'
8875,'36 months',0.2408,'6 years','RENT',33000,12.55,664,'Charged Off'
29175,'60 months',0.1997,'10+ years','MORTGAGE',65000,6.79,694,'Charged Off'
18000,'60 months',0.1353,'10+ years','MORTGAGE',109000,18.13,719,'Charged Off'
15000,'36 months',0.1353,'2 years','RENT',40000,27.06,674,'Charged Off'
12000,'60 months',0.1498,'10+ years','RENT',85000,29.25,699,'Charged Off'
16000,'36 months',0.1398,'n/a','MORTGAGE',75000,19.76,674,'Charged Off'
7800,'36 months',0.1997,'2 years','RENT',32000,14.7,674,'Charged Off'
9750,'36 months',0.1825,'10+ years','MORTGAGE',53000,22.31,664,'Charged Off'
15000,'36 months',0.1997,'3 years','OWN',92000,23.41,669,'Charged Off'
16000,'60 months',0.1757,'2 years','MORTGAGE',73500,1.08,719,'Charged Off'
34475,'60 months',0.2148,'7 years','MORTGAGE',76000,11.38,684,'Charged Off'
20000,'36 months',0.1825,'10+ years','OWN',100000,4.75,684,'Charged Off'
6000,'36 months',0.1398,'9 years','MORTGAGE',46000,3.86,679,'Charged Off'
15600,'60 months',0.1699,'10+ years','MORTGAGE',60000,31.66,669,'Charged Off'
20000,'36 months',0.1199,'2 years','MORTGAGE',60000,23.3,719,'Charged Off'
14825,'60 months',0.2148,'6 years','RENT',42400,23.95,679,'Charged Off'
5000,'36 months',0.089,'8 years','RENT',26000,17.54,684,'Charged Off'
12000,'60 months',0.1624,'2 years','MORTGAGE',68000,26.97,674,'Charged Off'
12000,'60 months',0.2148,'7 years','RENT',58500,34.11,674,'Charged Off'
15000,'60 months',0.2557,'9 years','MORTGAGE',50000,19.11,669,'Charged Off'
7000,'36 months',0.1757,'< 1 year','RENT',27000,16.27,679,'Charged Off'
8325,'36 months',0.1498,'n/a','RENT',50000,8.88,699,'Charged Off'
9325,'36 months',0.1699,'< 1 year','RENT',32000,14.29,674,'Charged Off'
19000,'36 months',0.1624,'2 years','RENT',49010,17.21,699,'Charged Off'
15000,'60 months',0.1699,'10+ years','MORTGAGE',90000,14.73,664,'Charged Off'
32875,'36 months',0.224,'n/a','MORTGAGE',102000,20.24,689,'Charged Off'
15000,'60 months',0.1922,'10+ years','MORTGAGE',82000,30.44,709,'Charged Off'
26375,'36 months',0.2499,'10+ years','OWN',70000,25.8,674,'Charged Off'
8000,'36 months',0.1447,'< 1 year','RENT',45000,22.35,669,'Charged Off'
6500,'36 months',0.1398,'10+ years','MORTGAGE',50000,23.98,709,'Charged Off'
35000,'60 months',0.229,'4 years','MORTGAGE',100000,16.8,709,'Charged Off'
8000,'36 months',0.1099,'2 years','MORTGAGE',50000,22.88,714,'Charged Off'
12000,'60 months',0.1757,'4 years','MORTGAGE',160000,8.27,679,'Charged Off'
7200,'36 months',0.1285,'10+ years','MORTGAGE',75000,22.18,689,'Charged Off'
23850,'60 months',0.1997,'10+ years','MORTGAGE',60000,29.22,714,'Charged Off'
7000,'36 months',0.1447,'< 1 year','RENT',20000,27.97,679,'Charged Off'
4800,'36 months',0.0762,'1 year','MORTGAGE',104000,12.89,724,'Charged Off'
24000,'60 months',0.1447,'10+ years','MORTGAGE',145000,14.19,704,'Charged Off'
3675,'36 months',0.2499,'1 year','RENT',30887,15.31,664,'Charged Off'
7200,'36 months',0.1699,'5 years','MORTGAGE',65000,16.23,689,'Charged Off'
5500,'36 months',0.1498,'3 years','MORTGAGE',104000,22.68,734,'Charged Off'
12000,'60 months',0.1447,'4 years','MORTGAGE',90000,24.55,674,'Charged Off'
10000,'60 months',0.229,'< 1 year','RENT',60000,13.6,704,'Charged Off'
8125,'36 months',0.1624,'3 years','RENT',45000,3.39,679,'Charged Off'
4250,'36 months',0.1624,'8 years','MORTGAGE',33000,26.15,679,'Charged Off'
5300,'36 months',0.1285,'8 years','RENT',40000,18.87,699,'Charged Off'
9450,'36 months',0.205,'3 years','RENT',29000,29.59,664,'Charged Off'
9450,'36 months',0.1757,'n/a','RENT',23088.6,17.67,694,'Charged Off'
25000,'60 months',0.1447,'10+ years','MORTGAGE',95000,10.49,739,'Charged Off'
15000,'60 months',0.1498,'2 years','MORTGAGE',42000,27.26,709,'Charged Off'
15000,'36 months',0.1199,'< 1 year','RENT',60000,17.2,664,'Charged Off'
25000,'36 months',0.1447,'10+ years','MORTGAGE',67000,18.37,674,'Charged Off'
11100,'36 months',0.1498,'10+ years','RENT',45000,21.68,669,'Charged Off'
7450,'36 months',0.0967,'n/a','RENT',21080,25.68,664,'Charged Off'
20000,'60 months',0.1757,'4 years','MORTGAGE',54000,31.04,664,'Charged Off'
20000,'36 months',0.089,'< 1 year','MORTGAGE',47860,26.89,669,'Charged Off'
8000,'36 months',0.1099,'< 1 year','RENT',60000,25.82,694,'Charged Off'
11500,'36 months',0.1199,'5 years','RENT',42000,11.46,724,'Charged Off'
16450,'60 months',0.229,'5 years','RENT',38000,16.05,699,'Charged Off'
30000,'60 months',0.1447,'10+ years','MORTGAGE',80000,19.62,749,'Charged Off'
12000,'36 months',0.1398,'10+ years','RENT',75000,10.42,679,'Charged Off'
10000,'36 months',0.1398,'10+ years','RENT',55126,11.39,674,'Charged Off'
4750,'36 months',0.2499,'6 years','RENT',29000,15.36,664,'Charged Off'
20000,'60 months',0.205,'10+ years','RENT',60000,25.95,669,'Charged Off'
10000,'60 months',0.1447,'10+ years','RENT',34500,18.71,679,'Charged Off'
18550,'60 months',0.1922,'n/a','RENT',43000,30.06,694,'Charged Off'
23325,'60 months',0.258,'4 years','MORTGAGE',65000,11.02,749,'Charged Off'
12000,'36 months',0.0662,'n/a','OWN',37250,18.1,754,'Charged Off'
20000,'60 months',0.1624,'10+ years','RENT',50000,23.17,674,'Charged Off'
18800,'36 months',0.1353,'3 years','RENT',75000,22.27,699,'Charged Off'
8000,'36 months',0.1353,'9 years','MORTGAGE',43000,7.42,674,'Charged Off'
15250,'36 months',0.1353,'5 years','MORTGAGE',37000,19.04,714,'Charged Off'
17000,'36 months',0.1561,'10+ years','MORTGAGE',40000,22.35,679,'Charged Off'
20550,'36 months',0.1099,'1 year','MORTGAGE',47000,26.87,729,'Charged Off'
23750,'60 months',0.229,'5 years','RENT',69000,14.42,669,'Charged Off'
20675,'36 months',0.1825,'10+ years','RENT',52000,13.25,714,'Charged Off'
15250,'60 months',0.1997,'2 years','MORTGAGE',90000,12.45,684,'Charged Off'
9250,'36 months',0.1922,'10+ years','MORTGAGE',55000,13.29,664,'Charged Off'
13950,'36 months',0.1624,'< 1 year','RENT',40000,27.33,694,'Charged Off'
18000,'60 months',0.1353,'7 years','MORTGAGE',60000,10.38,689,'Charged Off'
10000,'36 months',0.1353,'8 years','RENT',40000,12.03,694,'Charged Off'
28000,'60 months',0.1997,'9 years','MORTGAGE',100000,10.37,669,'Charged Off'
28000,'60 months',0.1624,'7 years','MORTGAGE',225000,15.03,724,'Charged Off'
8125,'36 months',0.1757,'10+ years','MORTGAGE',40000,31.44,709,'Charged Off'
24250,'60 months',0.229,'6 years','MORTGAGE',62000,23.77,664,'Charged Off'
4325,'36 months',0.1447,'10+ years','MORTGAGE',52500,27.7,684,'Charged Off'
14300,'36 months',0.1561,'< 1 year','OWN',37000,17.77,669,'Charged Off'
6000,'36 months',0.1398,'8 years','OWN',110000,10.95,669,'Charged Off'
27000,'60 months',0.1997,'5 years','MORTGAGE',90000,24.19,674,'Charged Off'
21000,'36 months',0.1099,'8 years','RENT',136000,23.84,694,'Charged Off'
14125,'60 months',0.237,'3 years','RENT',40000,25.92,669,'Charged Off'
13200,'36 months',0.1285,'5 years','MORTGAGE',64000,23.85,699,'Charged Off'
12800,'60 months',0.1498,'10+ years','RENT',60000,26.28,694,'Charged Off'
8725,'36 months',0.245,'3 years','RENT',30000,19.84,664,'Charged Off'
10000,'36 months',0.1285,'10+ years','RENT',80000,12.59,704,'Charged Off'
12000,'60 months',0.229,'3 years','MORTGAGE',60000,23,674,'Charged Off'
10575,'60 months',0.229,'9 years','MORTGAGE',65000,16.26,669,'Charged Off'
28000,'60 months',0.205,'10+ years','RENT',102954,4.11,684,'Charged Off'
24000,'36 months',0.1099,'10+ years','MORTGAGE',121000,18.69,699,'Charged Off'
28000,'60 months',0.2148,'5 years','RENT',168000,29.88,684,'Charged Off'
24000,'36 months',0.1498,'9 years','OWN',72000,19.45,689,'Charged Off'
2000,'36 months',0.1561,'3 years','MORTGAGE',38000,28.68,679,'Charged Off'
9600,'36 months',0.1353,'10+ years','MORTGAGE',85000,16.59,689,'Charged Off'
1500,'36 months',0.1699,'10+ years','MORTGAGE',72000,10.17,694,'Charged Off'
15000,'60 months',0.1447,'2 years','OWN',42000,22.31,699,'Charged Off'
15000,'60 months',0.1757,'10+ years','RENT',52000,26.15,664,'Charged Off'
9300,'36 months',0.1398,'1 year','RENT',32000,22.36,674,'Charged Off'
30000,'60 months',0.205,'6 years','MORTGAGE',96000,16.58,709,'Charged Off'
4200,'36 months',0.1498,'10+ years','OWN',32000,20.29,669,'Charged Off'
12000,'60 months',0.2148,'7 years','MORTGAGE',40000,13.02,694,'Charged Off'
10625,'60 months',0.1997,'10+ years','RENT',30000,14.96,674,'Charged Off'
11325,'60 months',0.234,'1 year','RENT',33000,27.65,674,'Charged Off'
19000,'36 months',0.1099,'< 1 year','RENT',150000,4.24,699,'Charged Off'
35000,'36 months',0.1561,'10+ years','MORTGAGE',115000,5.66,704,'Charged Off'
20550,'36 months',0.1353,'2 years','OWN',105000,11.36,694,'Charged Off'
15000,'60 months',0.1498,'5 years','OWN',80000,15.95,704,'Charged Off'
24000,'36 months',0.1353,'5 years','MORTGAGE',65000,18.45,724,'Charged Off'
18000,'60 months',0.1561,'6 years','MORTGAGE',90000,27.37,704,'Charged Off'
8000,'36 months',0.1825,'9 years','RENT',23000,33.35,684,'Charged Off'
8000,'36 months',0.1447,'7 years','RENT',50000,25.3,699,'Charged Off'
15450,'60 months',0.2599,'7 years','OWN',66000,29.36,694,'Charged Off'
14000,'36 months',0.089,'6 years','MORTGAGE',84000,13.81,719,'Charged Off'
10000,'36 months',0.0967,'7 years','MORTGAGE',40000,6.99,689,'Charged Off'
4375,'36 months',0.1561,'5 years','RENT',23000,24.69,694,'Charged Off'
18000,'60 months',0.1398,'< 1 year','RENT',50000,29.67,704,'Charged Off'
6000,'36 months',0.234,'1 year','RENT',32576,23.62,674,'Charged Off'
10350,'60 months',0.229,'7 years','MORTGAGE',38000,28.87,679,'Charged Off'
16450,'36 months',0.1398,'< 1 year','RENT',37000,17.48,694,'Charged Off'
8400,'36 months',0.1561,'7 years','MORTGAGE',24178,21.81,669,'Charged Off'
30000,'60 months',0.1825,'10+ years','MORTGAGE',75000,27.76,714,'Charged Off'
17625,'60 months',0.1498,'3 years','MORTGAGE',40800,12.32,684,'Charged Off'
23850,'60 months',0.1757,'5 years','RENT',73000,22.13,709,'Charged Off'
28000,'36 months',0.1398,'10+ years','OWN',110000,32.53,714,'Charged Off'
6000,'36 months',0.1624,'10+ years','MORTGAGE',65000,24.21,664,'Charged Off'
15000,'36 months',0.1498,'6 years','MORTGAGE',85000,26.81,674,'Charged Off'
25000,'36 months',0.205,'10+ years','MORTGAGE',200000,4.35,674,'Charged Off'
20000,'36 months',0.1199,'10+ years','MORTGAGE',58510,20.4,684,'Charged Off'
7200,'36 months',0.2148,'n/a','OWN',22800,23.68,694,'Charged Off'
12000,'60 months',0.237,'3 years','MORTGAGE',36000,21.87,689,'Charged Off'
12250,'60 months',0.2148,'9 years','RENT',53000,20.97,674,'Charged Off'
18825,'60 months',0.1699,'2 years','RENT',43000,21.76,674,'Charged Off'
10500,'60 months',0.2148,'< 1 year','RENT',30000,22.08,674,'Charged Off'
16000,'60 months',0.1922,'3 years','MORTGAGE',93500,22.85,664,'Charged Off'
21000,'60 months',0.1922,'9 years','MORTGAGE',90000,21.63,664,'Charged Off'
29000,'60 months',0.1398,'10+ years','MORTGAGE',78000,14.58,729,'Charged Off'
17500,'60 months',0.1561,'n/a','MORTGAGE',42048,11.3,674,'Charged Off'
20950,'60 months',0.234,'3 years','MORTGAGE',48289,21.02,689,'Charged Off'
16100,'60 months',0.205,'6 years','RENT',39000,24.46,694,'Charged Off'
15000,'36 months',0.1922,'3 years','MORTGAGE',60000,31.18,689,'Charged Off'
7000,'36 months',0.1498,'9 years','MORTGAGE',45000,20.72,669,'Charged Off'
6075,'36 months',0.229,'7 years','MORTGAGE',30000,12.96,679,'Charged Off'
13150,'60 months',0.229,'10+ years','MORTGAGE',98000,13.95,674,'Charged Off'
18000,'36 months',0.089,'10+ years','MORTGAGE',50000,29.04,704,'Charged Off'
28000,'36 months',0.089,'10+ years','MORTGAGE',90000,22.43,739,'Charged Off'
28000,'60 months',0.1353,'10+ years','OWN',85000,20.2,754,'Charged Off'
5000,'36 months',0.1199,'2 years','RENT',130000,9.83,689,'Charged Off'
4000,'36 months',0.1498,'10+ years','RENT',57000,27.52,679,'Charged Off'
3600,'36 months',0.1498,'6 years','RENT',67692,11.66,679,'Charged Off'
6000,'36 months',0.089,'10+ years','RENT',49000,21.36,724,'Charged Off'
12000,'36 months',0.1199,'< 1 year','RENT',45000,25.2,669,'Charged Off'
8500,'36 months',0.1398,'n/a','RENT',23500,32.36,699,'Charged Off'
20000,'36 months',0.1099,'10+ years','RENT',130000,20,664,'Charged Off'
5000,'36 months',0.1922,'10+ years','RENT',30000,24.64,699,'Charged Off'
11500,'36 months',0.2557,'1 year','MORTGAGE',70000,12.14,669,'Charged Off'
9125,'36 months',0.1447,'8 years','OWN',23000,31.78,709,'Charged Off'
18000,'36 months',0.1825,'2 years','MORTGAGE',82000,13.39,674,'Charged Off'
10000,'36 months',0.1199,'10+ years','RENT',81000,7.53,674,'Charged Off'
28000,'36 months',0.0762,'2 years','RENT',95000,24.12,724,'Charged Off'
16450,'60 months',0.1699,'< 1 year','MORTGAGE',38000,12,729,'Charged Off'
16900,'60 months',0.1561,'10+ years','MORTGAGE',60000,10.42,684,'Charged Off'
12375,'36 months',0.1398,'10+ years','MORTGAGE',29900,14.49,674,'Charged Off'
16000,'36 months',0.1285,'2 years','RENT',68000,25.73,684,'Charged Off'
30750,'60 months',0.237,'9 years','RENT',85000,17.97,674,'Charged Off'
15000,'36 months',0.1447,'10+ years','RENT',45000,13.18,694,'Charged Off'
20000,'60 months',0.1997,'10+ years','MORTGAGE',65000,11.74,674,'Charged Off'
20000,'60 months',0.1447,'1 year','RENT',72000,25.78,714,'Charged Off'
25000,'60 months',0.1199,'10+ years','OWN',80000,25.07,754,'Charged Off'
10000,'60 months',0.1624,'2 years','RENT',78000,12.22,664,'Charged Off'
15000,'60 months',0.1447,'10+ years','MORTGAGE',52000,5.98,719,'Charged Off'
